,0
2831,"Terrible experience, service poor, left sitting  as though were not expected , very little arrived at the same time. Had to repeatedly ask for things. Servings brought to table for 2 not 3, cheese and pickle filling had no cheese. At this price service delivery...More"
2832,"rude staff, very overpriced and not nice atmosphere. Very disappointed. Wish i had something nice to say.More"
2833,"We went for afternoon tea bought for us as a gift, we turned up 5 mins early and were told they weren’t sure they could seat us cos we were too early!!!! We did sit down given a glass of bubbly but then ignored for...More"
2834,"Booked a table for 5 for my wife's birthday dinner.
Even though the restaurant was at capacity the service was exemplary all round
Everyone was impressed with the food, from starters through to desserts
The views are spectacular and as we'd booked for an early...More"
2835,"We visited Aquashard to celebrate our 1 year anniversary. We arrived an hour before our meal to enjoy a couple of Negronis at the bar. They were excellent & the bar man very friendly & professional. 
Cocktails are around £16, which is fairly reasonable given...More"
2836,"I was kindly offered a complementary afternoon tea for two after a disappointing visit to their restaurant. I didn't expect the restaurant to offer it actually and was pleasantly surprised. This time round, the restaurant was a lot less busy and thus the service was...More"
2837,"Fascinating views over London. Great food selection. Unfortunately service was quite disappointing: very disorganised, no waiter is dedicated to your table and you definitely feel it: i ordered for more bread during my main, it was served half an hour later by a waiter I...More"
2838,"Took my husband here for dinner for his birthday and we had such a great time.

The only issue for me was the fact that the check was given to my husband (guess cos he is white) than to me who actually took him out....More"
2839,"Being from Chicago, I’m use to skyscrapers and views but Aqua Shard was nothing like I’ve seen before. Breathe taking. The drinks were a bit expensive but so worth it as it was my first time in London.."
2840,"Went here for our anniversary breakfast. Such a lovely time! attentive staff, lovely food and a fabulous view."
2841,"I was invited for a drink to the Aqua Shard by our business partners and absolutely loved the experience. The view is amazing, service was great and the coctails we had were very nice too. I hope to visit this great place again."
2842,"Went there for drinks only. Fabulous venue,great views and excellent well trained staff . Ticks all the boxes!"
2843,Great atmosphere. Great service. Great views. Prices reasonable. Looking forward to my follow-up visit!
2844,Myself and my cousins visited here on Saturday afternoon for a few drinks. We waited a good ten minutes or a seat and when asked waitress for third seat for myself (8 month pregnant lady and showing) Shje said ask the manager myself!! Finally i...More
2845,Aquashard lived up to expectations in fact the tea had a few surprises as the cakes tasted amazing with full flavours and texture. Congratulations to the Chiefs for creating a delicious range from savoury to sweet. We had a short wait for our table while...More
2846,The Lobster Benedict is a must and the views are phenomenal! We had a fabulous time on my birthday with attentive staff 🥂
2847,"You get excellent views of London for free, although you have to purchase a drink, which is on the more expensive side of things. It is a cool place to hang out with friends in the evening, and gents, make sure you pay the bathroom...More"
2848,"Aqua Shard is all about the view. Overlooking The Thames and Tower Bridge, on a clear evening is stunning. 
The food is a good standard, menu mixed with what you'd expect from a contemporary English menu, scallops, pate, soup, steak, cod...
It lacks some atmosphere...More"
2849,"My second visit here and I’ll definitely go again but maybe at night time. 
Amazing views even though I’m always petrified of the height once there! 
I pre booked online which I’m glad of as the wait for tickets was big. 
Nice and spacious and...More"
2850,For those who haven’t been then I would warn you it’s expensive. For £29 each you get a full English and some pastries in addition to one coffee or tea. Additionally extra tea or coffee is charged which is disappointing. The bacon was probably 60%...More
2851,"If you are interested in the afternoon tea, you have to make a reservation.

They have a dress code but I noticed it is not strongly enforced (saw guys walk in with shorts, breaking the dress code). I think if you have a dress code...More"
2852,"Well if you really want an experience, this is it.  The service is incredible, the staff are very polite & courteous & everything looks splendid.  You can either sit around the bar for drinks or at a table with a view - what an incredible...More"
2853,"We went there for breakfast today morning.
The scenery from the 32nd floor is amazing.
The food & beverages are definitely overpriced.
The service was very slow in spite of the fact the place was not crowded.
The breakfast menu was quite basic and costed...More"
2854,It’s such a pity that you the food and service don’t live up to the view! You can’t even get the bartenders attention to order a drink while you wait for a table.
2855,"Took a very close friend her for dinner on a special birthday. The view was fantastic, service great, not rushed very relaxed and the food was out of this world. I would recommend a visit, it is not cheap but really worth the money."
2856,Absolutely wonderful breakfast. The views of London were incredible. Totally worth the cost. Service was great. And the washrooms were some of the nicest I've ever seen in a public space!!
2857,"If you are looking for a cheap place to have a drink, you'll be in the wrong place if you come here, but ist you are looking for a great view then this is the right place for you."
2858,"This is by far one of my favourate places to visit in Central London. I've had the opportunity to meet some amazing individuals here. The cocktails are amazing. It's quite pricey, well let me rephrase...you pay a great deal for the ambiance, the service, the...More"
2859,"We had a meal in aqua for husband’s birthday celebration. Easy to booked online and even adjusted our reservation when we arrived an hour early. Nice view, it was busy because it was a weekend. Maybe it’s not that bad if it’s during the weekday....More"
2860,"Aquaa Shard is very overpriced.  Very.  While view is good go to Duck & Waffle.  Duck & Waffle is Fab!  Similar great views and better service, staff and food."
2861,"Visited Aqua Shard yesterday, one of the hottest days of the year.  We had previously checked for a dress code and were advised no shorts or leisure footwear.  My husband wore trousers and shoes around sweltering London all day til it was time for our...More"
2862,One of our uber driver recommended aqua. We decided to have high tea. We called and asked if they cater to vegetarians and peskitarians and sure they did. High tea starts at 1pm. Our table was not right next to the window but we still...More
2863,"When we turned up at the restaurant for lunch without prior booking, the receptionist presented us with the menu to make sure we were happy before seating us. We didn’t get a table by the window, perhaps it’s due to the fact that we are...More"
2864,"Yes expensive for a breakfast! But it is for view to die for! 
Staff is polite but could have been more attentive when taking the order as my pastry was not the correct one.
Otherwise really good experience! Worth the view!"
2865,"Outside the Shard is cool, sleek and elegant. Inside you have to hustle through airline type security, get in a swish lift to floor 31, speak to an unfriendly staff member who knows you're only there for the view...and then begin to experience the full...More"
2866,"My husband and I, along with two other couples, recently had dinner here. After being led through a trendy entry, up a set of stairs displaying the entire bar area, along a path set with smartly dressed diners and staff, we were shown to our...More"
2867,"We visited on Saturday evening WOW just the same as before, the hottest day of the year and I wasn’t feeling too hungry but by god the plates were clean"
2868,"I went with my friend on a Summer’s day for an in promptu drink. We were both wearing summer dresses and looked smart casual and perfectly presentable, except my friend had sandals on and I happened to have rose gold flip flops on. I wasn’t...More"
2869,"We were celebrating a graduation and had booked afternoon tea for 7 people. 

On arrival the staff were friendly and had done their best to arrange a table nearest to the windows for us, which was lovely. The views were of course incredible and the...More"
2870,"Located at the 31 level of the Shard and offers the great view of the city and serves only the best. From sunrise to sunset, guests can enjoy the changing views of the London skyline in this contemporary and cosmopolitan destination restaurant with innovative contemporary...More"
2871,"Four of us went there to celebrate a birthday, we sat at a window seat and ordered drinks, instead of taking up two tables we decided to sit around one which was no problem but allowed others to use the next table. Then up comes...More"
2872,Aqua Shard provides a good service and a beautiful setting with a view that overlooks London. Their portions are very small for both the starters and the main dishes. It is a worthwhile experience on the whole and definitely a beautiful view when the weather...More
2873,"Wonderful experience at the Aqua Shard! My friend and I had never been before and got a Bookatable deal for a midweek lunch. We were blown away by the place, the food and the staff. As another reviewer said, we felt like we could have...More"
2874,"The first problem we had was getting in. We had tried to book but were told just to turn up at our chosen 6pm arrival. Lots of vacant tables, so no problem we thought.  NO. These tables are for afternoon tea, which was just ending,...More"
2875,"On a day out in London to celebrate a big birthday we called in at The Shard in the hope of getting a table for cocktails.
No problem, we were welcomed at Aquashard, which has a variety of eating and drinking options (note that most...More"
2876,Fabulous time. Staff very helpful and wonderful service. The bottle of wine was nice too.... so we stayed for a second bottle
2877,"Superb staff. Only had drinks. Wonderful views of course. If you can get a window seat, all the better. Obviously not cheap, but w fantastic experience !"
2878,"Great view from the top! Enjoy some bubbly.
Well organised someone attended to lift and crowd control.
Worth  look especially if you have the London Pass"
2879,"Went on Friday night, didn't book but managed to get in for drinks. Great quick service, got moved to another table with a better view without asking. To be expected high prices."
2880,"Been here a few times and never get tired of it. Have to book in advance if it's a special occasion. Great if you can get a window seat, worth paying just for the views. Drinks are not overpriced, meals were really nice although you...More"
2881,"Perfection...views fabulous food and perfect service, this is a wow experience for sure, this is a restaurant that doesn’t rely on the amazing view the food is superb. Loved this place, not cheap but well worth it."
2882,"I am a big fan of Aqua Shard, some of the best views of London, a fantastic drinks menu and friendly professional staff. I wouldn’t hesitate to recommend for an amazing experience."
2883,"Had the al a carte menu for lunch. The food was stunningly plated with fabulous tastes. We had a window view on a sunny day perfect. Helpful friendly staff, couldn’t fault our visit and now looking forward to going again"
2884,"The views were amazing, we had a table at 9pm and sat at the window watching the sunset over London. Food was delicious and the staff very attentive. It is of course expensive, £30-£60 main course, ave £15 starter, min £45 bottle of wine. The...More"
2885,"We went here for “high tea”.  The view was very nice and the experience overall was quite relaxing.  For the price, the service could have been better.  After being seated for around 15 minutes we had to get up and ask the hostess if we...More"
2886,"We bought tickets at 30 pounds each to go to a bar with food in the Shard; this all got mixed up and we went round and round trying to find out where we were supposed to be, ending up in the Aqua Shard restaurant....More"
2887,Elevator to the 32nd floor is surprisingly fast. Bit of a free for all trying to get a seat but once you've got one sit back and relax and enjoy the views of the city and a well put together cocktail. Drinks pricy but you're...More
2888,"The hotel features are great.
Nice amenities in the room and fantastic breakfast.
Very good for business and well located!
Price wise expensive."
2889,"From the moment you sit down at the table they are rushing you and telling you to be out in two hours in our case the waiter was actually quite rude.
Whilst the views are good the menu is also very limited and we would...More"
2890,"Veey nice view given its the tallest tower in Europe, but you really have to pay for it. Expect to pay more than you will be paying for in the west end for a simple drink. Had lunch and dinner at Aqua, the food is...More"
2891,"This was my second time at the Aqua Shard for breakfast. The first time I went was on a weekday and the menu options seemed to be endless. However, this time I went on a Saturday. Not only is the breakfast more expensive on a...More"
2892,"My friend and I went for drinks to aqua but decided to also have a meal to accompany it. 
4 drinks in total, 1 starter and 1 main- £178, rather expensive trip and the meals are ok but not worth the money and portions are...More"
2893,"I had my birthday dinner here with my family and yes it was an unforgettable experience since we are at Aqua Shard! Here is my detailed review of the restaurant. 

The area - It is not that hard to get here, anyway underground in London...More"
2894,"Indeed, like some people described: place is too loud. I like loud music etc, but this place is truly loud and not for a quiet any kind of a meeting.

One most important thing no on tell you before - this 'restaurant' is combined with...More"
2895,"The view of this restaurant is amazing. The food is good but not perfect. The plates were not warm and it was very long, 3 hours for brunch. Its not a place for families with young children. Very good desserts. I would recommend the 3...More"
2896,Amazing food and experience. We will definitely be back. Staff were very friendly but unobtrusive. Topped off our trip to the Chelsea Flower Show nicely
2897,"This is a great place to enjoy breakfast (drinks/dinner) overlooking one of the worlds most beautiful cities.  As we where jet lagged our body clock woke us quite early, I decided to jump on their web site and book a table online which was very...More"
2898,"This is a fabulously tasty dining experience, amazing food and fabulous atmosphere. Great place to take friends, business partners or a romantic night out."
2899,"Went here for afternoon tea for a hen party. Strict dress code on the booking, but many others were arriving who clearly weren’t following it and were still allowed in.
Promptly shown to table, request for a window table wasn’t followed despite us being on...More"
2900,"The bar upstairs offers some of the best views across the city. There is no dress code but if you are not smart you will feel out of place. 

After your ears pop in the lift on the way up you walk into an amazing...More"
2901,"On a recent visit for my friends birthday breakfast we were very impressed. I had rang ahead few weeks before and booked a window table, my friend has food allergies and they accommodated her very well !! The food was lovely, we had the set...More"
2902,"Stopped by at lunchtime for a few drinks with friends and family. The location, service, staff and views are second to none in London. We thoroughly enjoyed our visit and will become regulars while this continues. Highly Recommended."
2903,"Lunch. Special treat. 
Food was superb. Service was superb. 
Added bonus of a thunder storm & lightning which was awesome to see at such a height from the glass floor to ceiling windows. 
Not our normal place to dine. Sure they knew but we didn't...More"
2904,The Shard is my favorite building ever! It's the epitome of elegance and class in a building! There were cutoff times to get into the restaurants and since I came with my teenage daughter we were only able to stay for tea until 630pm.  She...More
2905,"Went here for my birthday dinner with family and we were given a private room (not booked), felt a bit like we were out of the buzz but equally was pleasant in other ways!
The private rooms obviously don’t have the best views (over the...More"
2906,"When thinking about booking a table here it is worth considering the fact that you only get a table for 2 hours, nice reception and immediately shown to our table, the wine sommelier took our drinks order and drinks were delivered to our table while...More"
2907,"I have been to Aqua Shard few times. It always provides an elegant set up for business meetings, lunch or dinner. The reception staff is courteous and efficient. The menu however is limited and does not offer enough variety despite a steep price tag. If...More"
2908,"Arrived at 2:54 in our finery for daughter's 18th celebration for 3 pm. No trainers, smart attire.....err no. It didn't matter. After waiting in a bustling queue at the bottom of the stairs, flustered staff,speechless in their nothingness just stood and stared. Fine we still...More"
2909,"Cocktails are excellent and surprising so is the food.

Of course, Aqua isn’t somewhere for a full blown meal as it is typically more of a bar. 

However the food that is offered are really good, particular the huge tiger prawn ! 

Prepare to pay...More"
2910,"Avoid!! Quality of food is gastro pub level at best! But more expensive than most Michelin star rated places! Trust me go to La Roue or similar and pay less for really amazing food!
Service is very average. Ambiance is more motorway cafe than 5...More"
2911,"I get that there’s a premium to pay for eating in this type of setting. However, the cost for a meal here represents a 100% increase on other good restaurants but without the quality to back it up.

There are great views to be seen...More"
2912,Yes the drinks are pricey but .....well it is the Shard so you kinda expect that. Having been here a few times (normally for the amazing views when relatives are visiting) we visited recently on a busy Friday night. As a mixed group of late...More
2913,Great restaurant! The view was amazing and of course the food was on the top level. Thank you for the friendly and nice service especially for Iva. The evening was really important for us (💍) and they helped us to keep special. Thanks Iva!💃
2914,We brought our cousin for lunch at the Shard and honestly was delicious lovely view nice sunny day and the service was excellent
2915,"Was treated to lunch here for my birthday. The restaurant has stunning views but the service was very slow, at least for our table, we saw people come and go as we waited. Some of our food was good but the seafood dish that we...More"
2916,"Had a dinner with friends at this place, all ordered food and wine. When the supplement dish was brought, we ordered potatoes, we noticed something inside the potatoe....we thought that it was stuffed with something and ate it. But it did not taste good, the...More"
2917,"Had the brunch set menue  .. £48 for 3 course..

Harbour lobster benedict was excellent. 

Unfortunately the beef sirloin was cold .
This was heated but all the accompanying sauce ( in a separate pot ) was poured over it.. so i found it unpleasant....More"
2918,"Absolutely loved it , the whole experience was fun right from the start & the food was lovely , I would recommend this for a special occasion or just for fun. Luckily we had nice weather which really helped. The choice on the menu was...More"
2919,"If you do not want to buy the ticket for the shard View and you do not mind being on a lower floor than the view, this is probably the best and cheapest way to enjoy the view. The service is not particularly friendly but...More"
2920,As a birthday treat i took my girlfriend for lunch up the Shard .. it was an amazing experience. The staff who met and greeted us were so friendly and took us straight through to the sky bar for pre lunch drinks .. we sat...More
2921,"Wanted to start my wife's 40th birthday with a bang so decided to take her to Aqua Shard for breakfast and it really met up to all expectations.  An incredible window seat with views overlooking London, outstanding food (the bacon bap was to die for...More"
2922,"Warm greetings by AJ at Reception were polite and hospitable as he did his best to find us a table with a window view very quickly upon arrival - this made our experience here very special! 
Excellent service from the outset and throughout."
2923,"A last minute spur of the minute lunchtime decision led us to Aqua Shard, mostly for the views but also to treat some friends.

The positives were the views which are stunning, and the actual restaurant space is very nice.  The men’s toilets are also...More"
2924,"My wife and I had our 25th anniversary dinner at the Aqua Shard and although the servce was excellent and the view magnificent... the food was just average. Most dishes were over seasoned and ""sauced up"" like you would expect from a casual chain resturant....More"
2925,"Situated on 32nd floor of SHARD. The lift takes you up in 15 seconds.
The place is romantic with wonderful views of London.
Food is tasty , service is wonderful & ambiance excellent."
2926,"The first visit was with family from NZ & the second was with a girlfriend from Australia.
We had brunch and it was delicious. 
Views were fantastic.
We didn't feel rushed able to take our time looking at the view and taking pictures. 
Friendly staff."
2927,"My daughters took me for a three course meal, service was perfect as was the food and the views amazing"
2928,"Nice bar with a great view, but a bit overpriced! I can imagine it would be very romantic for dinner or drinks on a quieter night. 

I’d definitely come again..."
2929,"After my previous positive experience for brunch I booked yesterday night for a Dinner with Italians friends, it was their first time at the Shard.
I have asked for a special table near the window and the manager Noemi sorted, thanks so much for the...More"
2930,"The Shard has increíble views. You may have soft or alcohol drink. Cofee, te. The chair te is delicious. However, you have scarce chicos of food: peanuts, muffin pr cookies. You should go after having lunch."
2931,"We booked 2 months before, as it was my kids (16 &10) first time coming to the Shard. We went for Sunday brunch. Started with pumkin soup as appetizer which was really nice, but then came along the main courses and desserts which were below...More"
2932,"I would recommend going there for a meal for anyone who visits London.  The food was amazing and you get a great view of the city.  All male guests need to use the facilities,  my husband came back to get his camera to show me."
2933,No surprise but this was really expensive. Not really deservedly so. Food was ok but views were amazing. Would I go back? Probably not.
2934,I'd heard so many good reviews on this - but I was not impressed. For what I considered an expensive day out I would not recommend it.More
2935,"Stunning views whilst eating a delicious breakfast. You get a lot for your money, staff are exceptional, helpful and professional"
2936,"We enjoyed our dinner at this resturant. The welcoming service was exceptional, but after we ordered the food the rest of the service (which dish is for who etc etc) and the OK quality of the food made it  a less wonderfull experience"
2937,Went for lunch Good food and amazing views. Staff friendly and welcoming. Well worth a visit will return
2938,"We visited for the first time for Sunday Brunch.

From the moment you step out of the lift the view is immediately what grabs you.

Smart restaurant brigade, seemed like loads of managers compared to staff but nevertheless they were reasonably attentive.  The attention to...More"
2939,"From the moment we were greeted and welcomed with such warmth by Marcos at the door who sent us complimentary champagne, to our impeccable waiter, Kapil and the wonderfully charming Maitre d',  Marcello, this dining experience was by far one of the best we've ever...More"
2940,"Been here for a Brunch. Good service, very attentive. Liked the starter but as for the main i say that the chicken is not the best choice to have. Quite pricey but considering the location you should expect it.
Amazing view."
2941,"We had a lovely dinner here  the food  was excellent and we were not hurried, Serena  and Nicholas our waiting staff were charming and very efficient. The views are breathtaking, the restaurant is quite expensive but for a  special occasion I feel it is worth...More"
2942,We were very well looked after special assistant to get wheelchair into bar and a small table was found for us service was very polite and professional nothing was to much trouble even with wheelchair
2943,"Over all experience was good- partners birthday meal as part of our visit to London. Staff were not an approachable as I would have liked, especially for the money that we spent. 

The surroundings are breathtaking & we very much enjoyed our time here. However,...More"
2944,"The Aqua Shard is a great restaurant bar located on the 32nd floor. The views of the Thames, Belfast ship, Tower of London and many other landmarks were superb.
The lift takes you from ground to 32nd in 12 seconds. There wasn’t an option to...More"
2945,This restaurant has great view and has also great food. I would certainly recommend it to anyone. I excellent option in London. Amazing views.
2946,"We had wanted to see the view from the top of the Shard when in London recently. However, the price for the viewing level was ridiculously high, and it became evident that we could get a quality lunch together with an equally spectacular view from...More"
2947,"I didn’t have any food here but when you spend almost £20 on a drink you want to give your opinion about it.
I feel like this place doesn’t make any effort at all. They have the building, they have the views and they know...More"
2948,"Very expensive food which does not even taste delicious. I tried to book a table far in advance on the phone. However, I was informed that they do not take bookings. When we arrived there were free table with a view, but they would not...More"
2949,"Excellent, friendly and welcoming staff.
Spectacular views in an amazing environment.
Definitely will reccommend to anyone visiting London. 
Thank you"
2950,Fantastic views and worth the research and time it look to ascertain when to arrive.  Found (eventually) that they have walk-up entries from 6 p.m. so joined a lengthy queue as we just wanted to have a drink and admire the amazing views.  Gained entry...More
2951,"Excellent food, views, service and all round experience. Particular mention to the staff who went above and beyond, recognised unprompted that our son had just collected his D of E award and provided a complimentary glass of bubbly for all. Thank you!"
2952,Recently visited for lunch with my daughter. The service was first class. The food was exceptional. And the views simply breathtaking.
2953,You go for the view (which is amazing!) but the food and service is excellent. I’ve lived in London for years but visiting The Shard made me a delighted tourist. Go!
2954,Me and mummy went for afternoon tea. 360 views to die for. The layout was beautiful and the waited service was professional and courteous. They went the extra mile to make sure mummy enjoyed her birthday (I had put a note in to say that...More
2955,"good service, excellent food but very limited in choice in the market lunch menu. Will definitely go again when menu changes for next month."
2956,"Wow what a view!! Great customer service with outstanding delicious food what more could you ask for? 
It is definitely worth a visit xx"
2957,"The food was very good and so was the service. The only criticism I have is that the meal to start with was very rushed, we asked for a bit of a break before  desert then had to wait nearly half an hour to get...More"
2958,"We have been to the Shard and very happy and enjoy the food,nice view and friendly staff.
We will be there again soon."
2959,"Had relatives visit from Australia, requested nice seating and Oderered Ala Carte yet seated near Bar Area. Also leaked customer care.More"
2960,"Fantastic food, first class service and amazing views. The food was presented beautifully and cooked to perfection. The waiting staff were polite helpfull and well presented. Window seat offered lovely view of the thames and surrounding area."
2961,"We visited The Shard for a birthday celebration it was really lovely. Food , staff and ambience couldn't have been better. Easy to book online too."
2962,"Superb food
Superb cocktails 
Superb service
Overwhelmingly superb view

Loved the view from the loos too!

No more to be said!!"
2963,"I felt like I was treated like royalty.  The staff were extremely friendly and accommodating.  They were very helpful in helping us pick which tea to order, they also were very informative on giving us tips on where to go after enjoying the tea and...More"
2964,We went to have an experience and we're not expecting the food to be anything special.  We were wrong- it was a great experience but the food was also exquisite
2965,"Aqua Shard is our venue of choice for a glamorous bar with the ‘wow’ factor; the panoramic views across London are simply breath-taking. The bar itself is spacious, light & airy; there is ample seating from which to enjoy the cityscape below. Staff are welcoming...More"
2966,"Poor value. Primarily you get a good view of London on 31st floor. Food is secondary. One small savoury salmon sandwich, rest is traditionally sweet. Cucumber sandwich absent. Tea served is excellent. Better go the The Waldorf for Afternoon Tea if you prefer good choice/variety...More"
2967,"The location gives you views over the top of London. The food and service are average, but the view is worthwhile"
2968,Went for lunch to celebrate my daughters birthday. Had the 2 course lunch with a bellini included.The food was fine but it was not amazing. Luckily the day was very sunny so the views were amazing where ever you sit in the restaurant. I really...More
2969,"Mid week lunch visit with family to celebrate a birthday. Many options available but wanted something a bit special. Opted for the Shard for the view and the lunchtime menu with a Bellini. Everything exceeded expectations, service, view and especially the food  Helped by a...More"
2970,"I took my son to the Aqua Shard for a 50th birthday present. The food was delicious. The views were amazing, and the service made us feel special. The waiter even brought a “happy birthday” dessert when he heard that it was my son’s birthday....More"
2971,"Went to the bar on 52nd floor.
The view was even more beautiful  than I had antedated, but what made it for me was
The service from the young lady who served us.
Madalina is the perfect employee! Very very helpful, clever, funny, generous and...More"
2972,"To Anyone Wanting A Good Meal with a View, turn back. 

I keep bringing friends that visit London to Aqua Shard in the sincere hope that the food and service would have improved. How sorry I am. 

Very bad service from the start, grumpy hosts,...More"
2973,I was invited to celebrate my birthday to the Shard. Couldn't even imagine this spectacular view and outstanding cuisines!
2974,"You've got to try the Aqua Shard for a quick drink , if not a full on meal.

The bar and restaurant are as posh as you like, but any reasonably dressed punter can go up for a drink at the bar,  Go through security...More"
2975,"Went for a tea on 2nd June, birthday treat from my son.After sitting down for 40 minutes we had to ask waiter for our food. 

After finishing our sandwiches we had to wait for cakes. View is amazing but service is very poor.More"
2976,"We had a Saturday brunch here, booked as a special birthday treat. Everything about this place is superb - the view, the ambiance and of course the food. We had the set 3 course brunch which was absolutely delicious. Well worth a visit, and makes...More"
2977,"We booked The Aqua for afternoon brunch last Saturday and considering our bill was £140 for the two of us, we were more than dissatisfied with the quality of service and food.  We ordered the smoked salmon and beef cracker for starters.  You can't go...More"
2978,Great views good food but not outstanding. Ridiculously expensive but the market is captive. The bar area needed some more seats and the bar itself desperately needed a wipe over. Maybe it was the time of day but it was covered in drink marks. Not...More
2979,"This place is nice but soooo expensive when you book a table you have to spend at least 30 £ pp fairly easy with the prices but no snacks etc for soaking up the expensive wine
Bit overrated"
2980,"My wife and I visited here for her birthday.
The staff made a nice fuss and were very attentive.
Obviously the view from here is second none and we never felt rushed at all.
The food was superb although expensive.
However when you are sat...More"
2981,"Had a quick drink at the Aqua Shard, whilst waiting for our table in Hutong to be ready. Was lucky enough that it was a sunny day and the views were fantastic. However, there were limited tables by the windows."
2982,Located on the 32 nd floor of the Shard building this bar & restaurant has a beautiful view of London city. Drinks are good although didn’t try the food.
2983,The restaurant is on the 31st floor of the Shard building in London. The views are spectacular. Unfortunately the food is just ok and the drinks extremely overpriced. The staff varied too from extremely pleasant to off hand. We definitely would not repeat the experience.
2984,"Came here for dinner on a Bank Holiday Sunday, The view was amazing which kept
our hopes up for what we were expecting to be an amazing dinner. We were sat at the bar until our table was ready( not long of a wait 15...More"
2985,"I’ll keep this simple... food, service, drinks, views, atmosphere, experience all fantastic!
If your in London you must visit this place."
2986,"The service that we received was amazing during our visit for breakfast. The staff were friendly, attentive and very helpful. The food was delicious and an excellent view of London.

We will definitely be visiting again!"
2987,"we went for a night cap to aqua shard, I go there quite a bit entertaining clients and it's a nice way to end the evening. my colleague, client and I arrived and got seated ordered drinks. My client went out to smoke and took...More"
2988,"The view is amazing and the people watching is almost like sport.  The food was good, but this is the place to be seen."
2989,"Been at Aqua Shard a number of times and always found it to be excellent, but after  our visit this week, won't be rushing back. Went as a group of five for breakfast and found service poor compared to previous visits. Serving staff seemed stretched...More"
2990,"I was treated to breakfast on my birthday. I don't know what it cost.
The menu was extensive; the food was great; service was friendly and attentive.
The restaurant was quite quiet and we were given a table by the windows.
The atmosphere was clear...More"
2991,"1stly, excellent value for money. Food wonderful & service of the highest standard. Especially Ivalina who found out that one of our group had a birthday & surprised her with a cake & extra Bellini. Restaurant ambience including those views were superb. We'll be back!"
2992,We went here to celebrate a birthday and the afternoon tea was presented beautifully!! The food was delicious and we were sat by the window. I wish we had a better view as we were in the corner. The staff were very attentive and made...More
2993,"We went here with all the family for afternoon tea - it was perfect :-)

I love an afternoon tea and I think it was exactly as it should be. The staff were brilliant and the views amazing!!

Couldn’t have asked for more really -...More"
2994,As you would expect the views are spectacular - we were lucky to get window seats on a very sunny day and as the sun went down the city lights came on and gave us a completely different view of the city scape below.  Drinks...More
2995,Brilliant! We went for a celebratory cocktail in the bar. The Director David put us in the private room from which we saw fantastic views of London. The service was excellent and the staff were very polite and efficient. They could not do enough for...More
2996,"Second time here.  Come on?!  Central London on a Saturday night?  Closes at 1am, bar staff couldn’t wait to go home and not sure how much they are paid, they all seem grumpy. 
Ladies toilets had no lights except ting spot green lights as small...More"
2997,"Myself and 4 friends visited Aqua Shard on Saturday 2 June. We could not fault the service from all the staff and we had a lovely table with excellent views of London and the sunset however.... the drinks are WAY over-priced, the menu is limited...More"
2998,"As soon as we entered the restaurant we were asked to have a look at the menu. When we said we were ok, we got asked again to look at it. I said we would look at it when sitting down and we were put...More"
2999,"A visit in this iconic building has been on my bucket list for a few years and finally I had the opportunity on my latest trip to London.
We went here for breakfast and as expected everything was top notch; the service, the food, the...More"
3000,"this was paid for by my lovely daughter as a treat.  Wonderful experience and the food was beautiful, views were stunning but at £100 for a two course dinner and no drinks this was really overpriced!  I am delighted we went and cannot fault the...More"
3001,"Wpuld Love to say Big thank you to our waiter Fillipo , so positive, with answers to all the questions about a menu, with smile and absolutely brilliant attitude. Thank u. Very special Thank You goes to Antony the manager who looked after us really...More"
3002,"My boyfriend and I had pre-booked a table for dinner. The evening stared off well, we were table to a pre drinks waiting area to begin with which had amazing views, the staff were lovely.

We had requested a window table but weren’t given one....More"
3003,"Wow, what an experience. Fabulous food, excellent service and a memorable view, the champagne enhanced my 65th Birthday treat with my daughter. Superb."
3004,Nice food and atmosphere. Service top class with lovely views. Great for romantic date. Needs to be booked in advance
3005,"My husband and I decided to have dinner at Aqua Shard after having a couple of drinks at the bar. It was last minute, so we expected to wait because we did not have a reservation. The hostess told us to stay at the bar...More"
3006,"Absolutely worth going here. I cannot wait to come here again. The views were also stunning, especially when the weather is good"
3007,Wonderful Birthday🎂event. Great views of London and surrounding area. It was a lovely sunny day. The Champaign 🥂  bar was great too. An absolute must for all....😍
3008,"Loved the restaurant, great views, great food, fab service. But oh my goodness the prices are ridiculous."
3009,"Simply fabulous view.
Terrible food arrived cold, sent back, secondly of food equally cold . Unbelievably poor value for money. 
if you want a view take the Eye.More"
3010,Pleasantly surprised by the exceptional food here. We had a deal of three courses and a Bellini and each course was outstanding. Drinks are very expensive - it was £14 for a cocktail! But it is a beautiful place to eat and have a drink.
3011,"Myself and my husband were lucky to have won a meal at aqua shard.. having been before I knew how amazing the views were (and how tasty the cocktails are!) 

The staff from the greeters to the sommelier, and waiting staff were all very friendly...More"
3012,We had lunch on floor 31 of the Shard at The Aqua Shard restaurant. It was a 3 course set menu with a Bellini drink. The food was very good from friendly staff whilst overlooking London and reasonably priced. It gave us the taste to...More
3013,"View is amazing, food very good, but service takes a very long time. We actually waited over half an hour for our desert, without any explanation."
3014,"Stunning views of London and beyond - even on a murky day. 

Topped off with a glass of champagne on one of the viewing decks - memorable.

With all the other attractions in this wonderful city it’s never going to be top of your list...More"
3015,Amazing view over London but it comes at a price. I think you could definitely find equally nice views of London at half the price. Aqua Shard bar was lack a bit it amosphere too but I guess the view makes up for this.
